NCAA Tournament,NCAA Champion,NCAA MOP
2023 NCAA,UConn,Adama Sanogo
2022 NCAA,Kansas,Ochai Agbaji
2021 NCAA,Baylor,Jared Butler
2019 NCAA,Virginia,Kyle Guy
2018 NCAA,Villanova,Donte DiVincenzo
2017 NCAA,UNC,Joel Berry
2016 NCAA,Villanova,Ryan Arcidiacono
2015 NCAA,Duke,Tyus Jones
2014 NCAA,UConn,Shabazz Napier
2013 NCAA,Louisville (Vacated),Luke Hancock
2012 NCAA,Kentucky,Anthony Davis
2011 NCAA,UConn,Kemba Walker
2010 NCAA,Duke,Kyle Singler
2009 NCAA,UNC,Wayne Ellington
2008 NCAA,Kansas,Mario Chalmers
2007 NCAA,Florida,Corey Brewer
2006 NCAA,Florida,Joakim Noah
2005 NCAA,UNC,Sean May
2004 NCAA,UConn,Emeka Okafor
2003 NCAA,Syracuse,Carmelo Anthony
2002 NCAA,Maryland,Juan Dixon
2001 NCAA,Duke,Shane Battier
2000 NCAA,Michigan State,Mateen Cleaves
1999 NCAA,UConn,Richard Hamilton
1998 NCAA,Kentucky,Jeffrey Sheppard
1997 NCAA,Arizona,Miles Simon
1996 NCAA,Kentucky,Tony Delk
1995 NCAA,UCLA,Ed O'Bannon
1994 NCAA,Arkansas,Corliss Williamson
1993 NCAA,UNC,Donald Williams
1992 NCAA,Duke,Bobby Hurley
1991 NCAA,Duke,Christian Laettner
1990 NCAA,UNLV,Anderson Hunt
1989 NCAA,Michigan,Glen Rice
1988 NCAA,Kansas,Danny Manning
1987 NCAA,Indiana,Keith Smart
1986 NCAA,Louisville,Pervis Ellison
1985 NCAA,Villanova,Ed Pinckney
1984 NCAA,Georgetown,Patrick Ewing
1983 NCAA,NC State,Hakeem Olajuwon
1982 NCAA,UNC,James Worthy
1981 NCAA,Indiana,Isiah Thomas
1980 NCAA,Louisville,Darrell Griffith
1979 NCAA,Michigan State,Magic Johnson
1978 NCAA,Kentucky,Jack Givens
1977 NCAA,Marquette,Butch Lee
1976 NCAA,Indiana,Kent Benson
1975 NCAA,UCLA,Richard Washington
1974 NCAA,NC State,David Thompson
1973 NCAA,UCLA,Bill Walton
1972 NCAA,UCLA,Bill Walton
1971 NCAA,UCLA,Howard Porter
1970 NCAA,UCLA,Sidney Wicks
1969 NCAA,UCLA,Kareem Abdul-Jabbar
1968 NCAA,UCLA,Kareem Abdul-Jabbar
1967 NCAA,UCLA,Kareem Abdul-Jabbar
1966 NCAA,UTEP,Jerry Chambers
1965 NCAA,UCLA,Bill Bradley
1964 NCAA,UCLA,Walt Hazzard
1963 NCAA,Loyola (IL),Art Heyman
1962 NCAA,Cincinnati,Paul Hogue
1961 NCAA,Cincinnati,Jerry Lucas
1960 NCAA,Ohio State,Jerry Lucas
1959 NCAA,California,Jerry West
1958 NCAA,Kentucky,Elgin Baylor
1957 NCAA,UNC,Wilt Chamberlain
1956 NCAA,San Francisco,Hal Lear
1955 NCAA,San Francisco,Bill Russell
1954 NCAA,La Salle,Tom Gola
1953 NCAA,Indiana,B.H. Born
1952 NCAA,Kansas,Clyde Lovellette
1951 NCAA,Kentucky,Bill Spivey
1950 NCAA,CCNY,Irwin Dambrot
1949 NCAA,Kentucky,Alex Groza
1948 NCAA,Kentucky,Alex Groza
1947 NCAA,Holy Cross,George Kaftan
1946 NCAA,Oklahoma State,Bob Kurland
1945 NCAA,Oklahoma State,Bob Kurland
1944 NCAA,Utah,Arnold Ferrin
1943 NCAA,Wyoming,Ken Sailors
1942 NCAA,Stanford,Howard Dallmar
1941 NCAA,Wisconsin,John Kotz
1940 NCAA,Indiana,Marvin Huffman
1939 NCAA,Oregon,Jimmy Hull
,,
